Id,pr_txt,Категория,Уровень рейтинга
1,"повышение кредитный рейтинг акционерный общество уральский сталь (далее уральский сталь, компания) вызвать улучшение качественный оценка ликвидность связь рефинансирование краткосрочный банковский кредит посредством выпуск облигационный заём погашение 2025 году. также пересмотр стратегический план реализация ряд инвестиционный проект способствовать улучшение показатель капитальный затрата выручке. улучшение ценовой конъюнктура мировой рынок чугун обеспечить запуск доменный печь 3, находиться ранее резерве, оказать дополнительный положительный влияние денежный поток компания 2023 году. кредитный рейтинг компания определяться средний рыночный позицией, бизнес-профиль уровень корпоративный управления, также средний оценка размер бизнеса. показатель рентабельности, ликвидности, долгов нагрузки, обслуживание долг денежный поток получить высокий оценки. уральский сталь крупный россия производитель товарный чугуна, мостостать стать производство труба большой диаметр (тбд). начало 2022 год акционерный общество загорский трубный завод ( рейтинг акр , прогноз стабильный ; далее зтз) приобрести 100 уставный капитал компания ао хк металлоинвест ( рейтинг акр , прогноз стабильный ). ключевой фактор оценка средний оценка рыночный позиция обусловить оценка рыночный позиция уральский стать основный вид продукция (мостосталь, штрипс чугун), взвесить учёт доля консолидированный выручка компании. средний оценка бизнес-профиль компания определяется: низкий оценка степень вертикальный интеграции, который отсутствовать компании, поскольку обеспечить собственный уголь железорудный сырьем; средний оценка доля продукция высокий добавить стоимостью, который учитывать сталь тбд мостосталь высокотехнологичный вид продукции; средний оценка характеристика диверсификация рынок сбыта, рынок сбыт основной продукция уральский стать характеризоваться умеренный цикличность насыщенностью, продуктовый портфель компания умеренно диверсифицирован. средний оценка географический диверсификация являться следствие наличие экспорт чугуна, толстолистовой прокат заготовки, доля который формировать 50 консолидированный выручка компании. один стороны, это обуславливать высокий оценка субфактор доступность диверсификация рынок сбыта, очень низкий оценка субфактор концентрация один заводе. средний уровень корпоративный управление обусловить прозрачный структура бизнес успешный реализация компания стратегия рост расширение продуктовый портфеля. топ-менеджмент компания представить эксперт больший опыт работа отрасли. уральский сталь применять отдельный элемент система риск-менеджмент (например, хеджирование валютный риск определённый случаях), однако единый документ стратегия управление рисками, также дивидендный политика пока утверждены. совет директор ключевой комитет пока сформированы. структура бизнес проста. компания готовить отчётность мсфо. высокий оценка финансовый риск-профиль компания обусловлена: высокий оценка рентабельность (рентабельность ffo процент налог 2022 год составить 12 ожидаться акр уровень около 18 2023-м); высокий оценка обслуживание долг (отношение ffo чистый процентный платёж процентный платёж составить 24,7ха результат 2022 год прогнозироваться акр уровень около 11,7ха 2023-м); высокий оценка долговой нагрузка (отношение общий долг учёт поручительство долг зтз ffo чистый процентный платёж ожидаться акр уровень 2,5ха (0,8ха учёт поручительств) результат 2023 года); средний оценка размер бизнес (абсолютный значение годовой ffo чистый процентный платёж налог менее 30 млрд руб.). высокий оценка уровень ликвидности. декабрь 2022 год компания рефинансировать краткосрочный банковский долг счёт долгосрочный облигационный заём погашение 2025 году. акр улучшить качественный оценка ликвидность компания благодаря комфортный график погашения, также наличие внутренний источник ликвидность вид наличный средство ожидать положительный свободный денежный поток (fcf) результат 2023 года. высокий оценка денежный потока. результат пересмотр стратегический план реализация ряд инвестиционный проект капитальный расход компания изменить малый сторону, оказать положительный влияние показатель капитальный затрата выручка самый улучшить общий оценка фактор денежный поток. ключевой допущение капитальный затрата соответствие бизнес-планом; отсутствие дивидендный выплата прогнозный периоде. фактор возможный изменение прогноз рейтинг стабильный прогноз предполагать высокий доля вероятность неизменность рейтинг горизонт 1218 месяцев. позитивный рейтинговый действие привести: снижение отношение общий долг учёт поручительство долг зтз ffo чистый процентный платёж ниже 1,0ха сочетание улучшение качественный оценка долгов нагрузка высокий рост абсолютный значение ffo чистый процентный платёж налог выше 30 млрд руб. год. негативный рейтинговый действие мочь привести: повышение отношение общий долг учёт поручительство долг зтз ffo чистый процентный платёж выше 2,0х; снижение рентабельность ffo процент налог ниже 15; снижение рентабельность fcf ниже 5, число вследствие выплата дивидендов. компонент рейтинг оценка собственный кредитоспособность (оск): a. корректировки: отсутствуют. рейтинг выпуск обоснование кредитный рейтинга. эмиссия являться старший необеспеченный долг уральский стали. причина отсутствие структурный контрактный субординация выпуск акр оценивать облигация равный очерёдность исполнение другой существующий будущее необеспеченный несубординировать обязательство компании. соответствие методология акра, определение рейтинг эмиссия агентство использовать детальный подход. согласно расчёт акра, уровень возмещение старший необеспеченный долг относиться I категории, связь кредитный рейтинг эмиссия приравниваться кредитный рейтинг компания . бездокументарный процентный неконвертируемый биржевой облигация акционерный общество уральский сталь централизовать учёт прав, размещать открытый подписке, серия бо-001р-01 (ru000a105q63) , срок погашение 25.12.2025, объём эмиссия 10 млрд руб., . регуляторный раскрытие кредитный рейтинг акционерный общество уральский сталь выпуск облигация акционерный общество уральский сталь (ru000a105q63) присвоить национальный шкала российский федерация основа методология присвоение кредитный рейтинг нефинансовый компания национальный шкала российский федерация основный понятий, использовать аналитический кредитный рейтинговый агентство рейтинговый деятельность . присвоение кредитный рейтинг указанный выпуск облигация также использоваться методология присвоение кредитный рейтинг финансовый инструмент национальный шкала российский федерация . впервые кредитный рейтинг акционерный общество уральский сталь опубликовать акр 14.12.2022, кредитный рейтинг выпуск облигация (ru000a105q63) 29.12.2022. очередной пересмотр кредитный рейтинг прогноз кредитный рейтинг акционерный общество уральский сталь, также кредитный рейтинг выпуск облигация акционерный общество уральский сталь (ru000a105q63) ожидаться течение один год дата опубликование настоящий пресс-релиза. кредитный рейтинг присвоить основание данных, предоставить акционерный общество уральский сталь, информация открытый источников, также база данные акра. кредитный рейтинг присвоить основание отчётность акционерный общество уральский сталь мсфо рсбу. кредитный рейтинг являться запрошенными, акционерный общество уральский сталь принимать участие процесс присвоение кредитный рейтингов. присвоение кредитный рейтинг использоваться информация, качество достоверность которой, мнение акра, являться надлежащий достаточный применение методологий. акр оказывать акционерный общество уральский сталь дополнительный услуг. конфликт интерес рамка процесс присвоение кредитный рейтинг выявить были.",A,A
2,"эксперт ра подтвердить кредитный рейтинг компания ооо энергоконцепция уровень москва, 31 март 2023 г. рейтинговый агентство эксперт ра подтвердить рейтинг кредитоспособность нефинансовый компания ооо энергоконцепция уровень . прогноз рейтинг стабильный. ) ооо энергоконцепция (далее компания) российский компания, заниматься поставкой, монтаж обслуживание энергетический оборудования. основной клиент представить производитель тепловой электрический энергия группа компания ооо газпром энергохолдинг (, стаб.). агентство оценивать риск-профиль отрасли, который компания вести деятельность, нейтрально. платёжеспособность основный клиент компания находиться высокий уровне. устойчивость внешний шок оцениваться агентство среднее уровне, т.к. спрос продукция услуга ооо энергоконцепция подверженный колебание экономический циклов. барьер вход находиться умеренно низкий уровне. рыночный конкурентный позиция компания оцениваться агентство сдержанно. критерий контрактный база оцениваться низкий уровне, т.к. контрактный база соответствовать один годовой выручка компании. позиция рынок сбыт слабая, т.к. доля компания рынок поставка обслуживание энергетический оборудование менее 2. наблюдаться умеренно высокий продуктовый диверсификация. концентрация бизнес ооо энергоконцепция оцениваться агентство негативно. настоящий момент практически весь выручка компания приходиться структура ооо газпром энергохолдинг. высокий концентрация выручка контрактный база свидетельствовать сильный зависимость операционный финансовый результат компания масштаб темп реализация инвестиционный программа ключевой контрагента. это оказывать крайне негативный влияние уровень рейтинговый оценки. зависимость труднозаменимый поставщик отсутствует, наблюдаться концентрация активов. уровень долгов нагрузка компания оказывать поддержка рейтинг компании. расчёт агентство отношение долг 31.12.2022 (далее отчётный дата) ebitda 2022 год составить 0,4х, соответствовать низкий уровень долгов нагрузка бенчмарка агентства. компания планировать привлечение дополнительный долговой финансирование публичный рынке, который направить рефинансирование существующий банковский заимствований, однако агентство рассчитывать существенный рост показатель долгов нагрузки. фактор общий уровень долгов нагрузка также поддерживаться высокий оценка показатель долг (ffo поддерживать capex) бенчмарка агентство счёт незначительный размер поддерживать капитальный затрата компании. агентство оценивать ликвидность компания также высокий уровне: операционный денежный поток горизонт год отчётный дата учёт остаток денежный средство покрывать процентный платёж долг краткосрочный заимствованиям, также являться достаточный поддерживать капитальный затрата выплата дивидендов. согласно применять методология кредитный анализа, качественный оценка ликвидность находиться давление вид отсутствие компания официально принять дивидендный политики. уровень процентный нагрузка оказывать поддержка рейтинг компании. 2022 год покрытие процентный платёж показатель ebitda расчёт агентство оказаться выше бенчмарков агентство размер 5,6х. низкий уровень процентный нагрузка обусловить незначительный размер заимствование компании. горизонт год отчётный дата ожидаться сохранение показатель процентный покрытие выше бенчмарков агентства. агентство оценивать фактор рентабельность компания позитивно. так, расчёт агентства, 2022 год рентабельность ebitda составить 16, общий оценка рентабельность компания дополнительно поддерживаться высокий значение рентабельность fcf период. агентство рассчитывает, значение рентабельность компания остаться вблизи текущий уровень близкий перспективе. компания подверженный валютный риск связь отсутствие долг затрата иностранный валюте. блок корпоративный риск оцениваться агентство среднее уровне. компания характеризоваться прозрачный структура собственности, оказывать поддержка рейтингу, однако корпоративный управление настоящий момент находиться начальный стадия формирования: отсутствовать совет директоров, сформировать коллегиальный исполнительный орган. степень транспарентность ооо энергоконцепция находиться среднее уровне: компания подготавливать отчётность стандарт мсфо публиковать финансовый информация (помимо обязательный раскрытию) оценка кредитоспособности. стратегический план компания характеризоваться низкий детализация операционный финансовый показателей. система риск-менеджмент формализована. данные отчётность рсбу, актив ооо энергоконцепция состояние 31.12.2022 составить 295,5 млн руб., капитал 166,3 млн руб. выручка итог 2022 год составить 1 082,7 млн руб., чистый прибыль 127,4 млн руб. контакт сми: , тел.: 7 (495) 225-34-44. кредитный рейтинг ооо энергоконцепция впервые опубликовать 31.03.2022. предыдущий рейтинговый пресс-релиз дать объект рейтинг опубликовать 31.03.2022. кредитный рейтинг присвоить российский национальный шкала являться долгосрочным. пересмотр кредитный рейтинг прогноз он ожидаться поздний год дата присвоение последний пересмотра. присвоение кредитный рейтинг применяться методология присвоение рейтинг кредитоспособность нефинансовый компания (вступить сила 01.08.2022) методология оценка внешний влияние кредитный рейтинг (вступить сила 06.05.2022) . ) присвоить рейтинг прогноз он отражать существенный информация отношение объект рейтинга, иметься ао эксперт ра, достоверность качество которой, мнение ао эксперт ра, являться надлежащими. ключевой источник информации, использовать рамка рейтинговый анализа, являться дать банк россии, ооо энергоконцепции, также дать ао эксперт ра. информация, использовать ао эксперт ра рамка рейтинговый анализа, являться достаточный применение методологии. кредитный рейтинг присвоить рамка заключить договора, ооо энергоконцепция принимать участие присвоение рейтинга. число участник рейтинговый комитет достаточный обеспечение кворума. ведущий рейтинговый аналитик представить член рейтинговый комитет факторы, влиять рейтинг, член комитет выразить свой мнение предложения. председатель рейтинговый комитет предоставить возможность каждый член рейтинговый комитет высказать свой мнение начало процедура голосования. ао эксперт ра течение последний 12 месяц оказывать ооо энергоконцепция дополнительный услуг. кредитный рейтинги, присваивать ао эксперт ра, выражать мнение ао эксперт ра относительно способность рейтингуть лицо (эмитента) исполнять принять финансовый обязательство (или) кредитный риска отдельный финансовый обязательство являться установление факт рекомендация покупать, держать продавать тот иной ценный бумага активы, принимать инвестиционный решения. присваивать ао эксперт ра рейтинг отражать относиться объект рейтинг находиться распоряжение ао эксперт ра информацию, качество достоверность которой, мнение ао эксперт ра, являться надлежащими. ао эксперт ра проводить аудит представить рейтингуть лицо отчётность иной данные нести ответственность точность полноту. ао эксперт ра нести ответственность связь любой последствиями, интерпретациями, выводами, рекомендация иной действие третий лиц, прямо косвенно связанный рейтингом, совершенный ао эксперт ра рейтинговый действиями, также вывод заключениями, содержаться пресс-релизах, выпустить ао эксперт ра, отсутствие перечисленного. представить информация актуальный дата её публикации. ао эксперт ра вправе вносить изменение представить информация дополнительный уведомления, иной определить договор контрагент требование законодательство рф. единственный источником, отражать актуальный состояние рейтинга, являться официальный интернет-сайт ао эксперт ра www.raexpert.ru.",BB,BB
3,"нкр повысить кредитный рейтинг ооо отэко-портсервис стабильный прогноз 31 март 2023 год структура рейтинг структура боск боск1 a оск a.ru внешний влияние - кредитный рейтинг прогноз стабильный 1 базовый оценка собственный кредитоспособность рейтинговый агентство нкр повысить кредитный рейтинг ооо отэко-портсервис (далее - отэко-портсервис, компания) стабильный прогнозом. резюме повышение рейтинг обусловить существенный улучшение оценка финансовый профиль компания благодаря рост выручка фон увеличение объём перевалка и, следствие, снижение долгов нагрузка 2022 год сохранение высокий показатель рентабельности. оценка бизнес-профиль поддерживать сильный текущий прогнозировать конъюнктура энергетический рынка, также обширный география конечный потребителей. некоторый снижение оценка бизнес-профиль обусловить ослабление устойчивость рынок сбыт российский экспортёр уголь текущий внешнеэкономический макрофинансовый условиях. бизнес компания характеризоваться высокий операционный маржинальностью, позволять выдерживать существенный негативный колебание ценовой конъюнктуры. отэко-портсервис характеризоваться прозрачный структура акционер умеренно высокий качество корпоративный управления. информация рейтинговать лицо ооо отэко-портсервис являться оператор таманский терминал навалочный груз (ттнг), запустить 2019 году. компания предоставлять услуга перевалка уголь серы, также продолжать развитие терминала. проектный мощность ттнг составлять 70 млн тонна год. ключевой финансовый показатель показатель, млн долл. сша 2021 г. 2022 г.2 выручка 426 1 222 oibda3 378 1 138 чистый прибыль 332 642 активы, 3 115 4 012 совокупный долг 2 155 2 099 собственный капитал 698 1 432 2 предварительный отчётность компания 3 операционный прибыль вычет амортизация основный средство нематериальный активов, скорректировать прочий доход расходы, которые, мнение агентства, носить разовый характер. источники: отчётность компания мсфо; расчёт нкр первый рейтинговый аналитик: андрей пискун второй рейтинговый аналитик: лия баймухаметов контакт сми: 7 (495) 136-40-47 обоснование рейтинговый действие факторы, определить уровень боск: a сильный рыночный позиции, снижение устойчивость рынок сбыт анализ систематический риск бизнес-профиль нкр обращать внимание стабильно сильный рыночный позиция компании. частности, ттнг - единственный современный специализировать навалочный терминал юг россии, расположить краткий расстояние основный угледобывающий регион представлять себя комплекс мировой класс железный дорога - порт - судно. благодаря современный технологический оборудование морской инфраструктура терминал позволять обрабатывать 2 5 судно одновременно отправлять груз больший партиями, число обеспечивать высокий рентабельность такой операций. компания располагать крупный складской мощность навалочный груз сравнение другой терминал регион (3 млн тонн), позволять сохранить гибкость обработка груз зимний период. вместе итог 2022 год оценка бизнес-профиль отэко-портсервис снизиться результат ухудшение оценка систематический риска, основной причина который стать ослабление устойчивость рынок сбыта: август 2022 год ряд покупатель страна ес (19 перевалка 2022 году) отказаться закупка российский угля. однако потеря доля европейский рынок частично компенсировать рост поставка восточный направлении, страна азиатско-тихоокеанский регион (атр). так, объём перевалка уголь ттнг вырасти 2022 год треть сравнение 2021 годом, 22 30 млн тонн. дополнительный устойчивость компания обеспечивать географический диверсификация рынок поставок, высокий обеспеченность ресурсами, низкий показатель зависимость поставщиков. основный рынок отгрузка энергетический уголь начало 2023 год компания являться страна атр (китай, южный корея), индия др. - 70 общий объём отгрузка итог 2022 года, также турция. грузоотправитель крупный угольный компания россия казахстана. время оценка специфический риск сдерживаться высокий концентрация актив отэко-портсервис единственный порту. низкий долговой нагрузка сочетание сильный рентабельность комфортный график погашение долг существенный улучшение оценка финансовый профиль компания обусловлено, первый очередь, снижение долгов нагрузки. отношение совокупный долг oibda сократиться 5,7 2021 год 1,8 2022 год результат рост выручка прибыль вслед увеличение объём перевалки. отношение ffo (средство операция уплата процентов) совокупный долг увеличиться 16,6 2021 год 49,3 2022 году, итог 2023 год ожидаться дальнейший рост 79,4. показатель обслуживание долг также положительно влиять оценка кредитный качество компания благодаря сильный денежный поток комфортный график погашение обязательств. 2022 год совокупный объём денежный средство денежный поток 4,2 раз процентный платёж краткосрочный долг сравнение 1,2 раз год ранее. погашение долг плавно распределить 2029 года, который приходиться выплата последний 24 задолженности. позитивный сказываться оценка финансовый профиль показатель ликвидность баланса. объём денежный средство итог 2022 год превысить текущий обязательства. итог 2023 год агентство также ожидает, уровень ликвидность превысить объём краткосрочный обязательств. показатель рентабельность внести существенный вклад улучшение оценка финансовый профиля. отношение oibda выручка итог 2022 год составить 93,2, рентабельность актив чистый прибыль - 17,9 (об показатель рассчитать методология нкр). прогнозировать сохранение высокий рентабельность бизнес среднесрочный перспективе. структура фондирование компания доля капитал приходиться 35 пассивов. доля крупный несвязанный кредитор пассив составлять 39, связь применить понижать корректировка оценка структура фондирование соответствие методология нкр. умеренно высокий уровень корпоративный управление агентство отмечать относительно высокий качество корпоративный управления. компания сформировать необходимый орган корпоративный управления, включая правление совет директоров, внедрить эффективный механизм управление рисками. отэко-портсервис регулярный основа подготавливать консолидированный годовой отчётность мсфо (не размещаться публично) проверка аудиторами. кредитный история платёжный дисциплина компания оцениваться положительно. результат применение модификатор стресс-тестирование условие негативный рыночный тенденция (макрофинансовый стресс, негативный событие отрасли) оказать существенный влияние уровень боск. учёт влияние модификатор оск установить уровень a.ru. оценка внешний влияние нкр учитывать вероятность экстраординарный поддержка сторона ключевой бенефициаров. кредитный рейтинг ооо отэко-портсервис повысить уровень . факторы, способный привести изменение рейтинг повышение кредитный рейтинг улучшение прогноз привести диверсификация бизнес счёт расширение номенклатура переваливать грузов, ведущий улучшение бизнес-профиль компании, дальнейший улучшение финансовый профиля, также развитие система корпоративный управление стратегический планирования. кредитный рейтинг снижен, прогноз ухудшить случай реализация риск санкционный ограничение экспорт груз порт рф аналогичный ограничение получение оплата экспортёр поставить продукцию. регуляторный раскрытие присвоение кредитный рейтинг ооо отэко-портсервис использоваться методология присвоение кредитный рейтинг национальный шкала российский федерация нефинансовый компаниям, основной понятия, использовать общество ограниченный ответственность национальный кредитный рейтинг методологический рейтинговый деятельности, оценка внешний влияние присвоение кредитный рейтинг национальный шкала российский федерации. кредитный рейтинг присвоить национальный рейтинговый шкале. кредитный рейтинг ооо отэко-портсервис впервые опубликовать 08.04.2022 г. присвоение кредитный рейтинг определение прогноз кредитный рейтинг основываться информации, предоставить ооо отэко-портсервис, также данные материалах, взять публичный источников. факт событий, позволять усомниться корректность достоверность предоставить данных, зафиксировать было. кредитный рейтинг являться запрошенным, ооо отэко-портсервис принимать участие процесс присвоение кредитный рейтинга. пересмотр кредитный рейтинг прогноз кредитный рейтинг ожидаться поздний календарный год дата публикация настоящий пресс-релиза. нкр оказывать ооо отэко-портсервис дополнительный услуг. конфликт интерес процесс присвоение кредитный рейтинг определение прогноз кредитный рейтинг ооо отэко-портсервис зафиксировать было. (c)2023 ооо нкр. ограничение ответственность материалы, автор который выступать общество ограниченный ответственность национальный кредитный рейтинг (далее - ооо нкр), являться интеллектуальный собственность ооо нкр иить лицензиар защитить законом. представить сайт ооо нкр сеть интернет информация предназначить использование исключительно ознакомительный целях. весь информация присвоить ооо нкр кредитный рейтинг иить прогноз кредитный рейтингам, предоставить сайт ооо нкр сеть интернет, получить ооо нкр источников, которые, мнению, являться точный надёжными. ооо нкр осуществлять проверка представить информация нести ответственность достоверность полнота информации, предоставить контрагент связанный они третий лицами. ооо нкр нести ответственность любой прямые, косвенные, частичный убытки, затраты, расходы, судебный издержка иной род убыток расход (включать недополученный прибыль) связь любой использование информации, автор который являться ооо нкр. любой информация, являться мнение кредитный рейтинговый агентства, включая кредитный рейтинг прогноз кредитный рейтингам, являться актуальный момент её публикации, являться гарантия получение прибыль служить призыв действию, должный рассматриваться исключительно рекомендация достижение инвестиционный целей. кредитный рейтинг прогноз кредитный рейтинг отражать мнение ооо нкр относительно способность рейтингуть лицо исполнять принять финансовый обязательство (кредитоспособность, финансовый надёжность, финансовый устойчивость) иить относительно кредитный риск отдельный финансовый обязательство финансовый инструмент рейтингуть лицо момент публикация соответствовать информации. воспроизведение распространение информации, автор который являться ооо нкр, любой способ любой форма запрещено, кроме предварительный письменный согласие ооо нкр учёт согласовать условий. использование указанный информация нарушение указанный требование запрещено. любой информация, разместить сайт ооо нкр, включая кредитный рейтинг прогноз кредитный рейтингам, аналитический обзор материалы, методологии, запретить изменению, ранжированию. содержимое использовать какой-либо незаконный несанкционированный цель целей, запретить законодательство российский федерации. кредитный рейтинг прогноз кредитный рейтинг доступный официальный сайт ооо нкр сеть интернет. пресс-релиз 4 нефинансовый компания транспорт пресс-релиз",A,A
